XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX  HEX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX  XXXX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXX  XXXXX
XXXXXXXXXXXXXXXXXXXXXXXXXXXX  XXXXXX
XXXXXXXXXXXXXXXXXXXXXXXXXXX  XXXXXXX
XXXXXXXXXXXXXXXXXXXXXXXXXX  XXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXXXX  XXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXXX  XXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXX  XXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXX  XXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXX  XXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXX  XXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXX  XXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXX  XXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXX  XXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXX  XXXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXX  XXXXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXX  XXXXXXXXXXXXXXXXXXXX
XXXXXXXXXXXXX  XXXXXXXXXXXXXXXXXXXXX
XXXXXXXXXXXX  XXXXXXXXXXXXXXXXXXXXXX
XXXXXXXXXXX  XXXXXXXXXXXXXXXXXXXXXXX
XXXXXXXXXX  XXXXXXXXXXXXXXXXXXXXXXXX
XXXXXXXXX  XXXXXXXXXXXXXXXXXXXXXXXXX
XXXXXXXX  XXXXXXXXXXXXXXXXXXXXXXXXXX
XXXXXXX  XXXXXXXXXXXXXXXXXXXXXXXXXXX
XXXXXX  XXXXXXXXXXXXXXXXXXXXXXXXXXXX
XXXXX  XXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XXXX  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XXX  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XX  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XW XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
